player,year,team,career_av
Michael Danna,2020,KAN,23.0
Michael Hall,2024,CLE,3.0
Michael Jurgens,2024,MIN,2.0
Michael Ojemudia,2020,DEN,4.0
Michal Menet,2021,ARI,
Micheal Clemons,2022,NYJ,13.0
Mike Green,2025,BAL,2.0
Mike Morris,2023,SEA,2.0
Mike Sainristil,2024,WAS,10.0
Milton Williams,2021,PHI,17.0
Mohamed Kamara,2024,MIA,0.0
Montaric Brown,2022,JAX,11.0
Monty Rice,2021,TEN,7.0
Moro Ojomo,2023,PHI,7.0
Myjai Sanders,2022,ARI,3.0
Mykal Walker,2020,ATL,16.0
Mykel Williams,2025,SFO,4.0
Myles Cole,2024,JAX,0.0
Myles Harden,2024,CLE,3.0
Myles Murphy,2023,CIN,7.0
Nahshon Wright,2021,DAL,11.0
Nakobe Dean,2022,PHI,14.0
Nate Hobbs,2021,LVR,14.0
Nate Wiggins,2024,BAL,7.0
Nathan Thomas,2024,DAL,3.0
Nathaniel Watson,2024,CLE,1.0
Nazeeh Johnson,2022,KAN,3.0
Nehemiah Pritchett,2024,SEA,2.0
