age,height,weight,40_yard,vertical,broad_jump,combine_invite,has_college_stats,age_estimated,conference_tier,ras_score,ras_drills_used,ras_reliable,speed_score,college_sp_plus,college_sp_offense,college_sp_defense,college_sos,years_in_college,is_underclassman,height_z,weight_z,size_score,positional_value_prior,positional_value_adjusted,position_historical_round_avg,position_historical_round_std
23.0,76.0,301.0,5.03,31.0,111.0,1,0,0,3,6.457720214610834,3,1,94.04258342510632,9.6,30.7,23.1,56.0,5.0,0.0,-0.5685771052367812,-1.134255523341388,-0.8514163142890846,3,0.4615384615384615,4.3125,1.8874586088176872
23.0,79.0,318.0,5.06,30.0,113.0,1,0,0,1,4.486284232084563,6,1,97.01861003484682,,,,,5.0,0.0,1.4678572206622924,0.2819618250114157,0.8749095228368541,8,1.4035087719298245,3.631578947368421,1.9785478244406585
22.0,78.0,307.0,5.32,25.0,106.0,1,0,0,2,2.7505348240400496,5,1,76.65170896170609,8.7,30.3,21.2,101.0,5.0,0.0,0.7890457786959345,-0.6344141062756925,0.077315836210121,8,1.3559322033898304,3.631578947368421,1.9785478244406585
21.0,79.0,364.0,5.1,,,1,1,0,3,4.216348512297879,2,0,107.6095152235684,0.2,34.6,33.6,37.0,4.0,0.0,1.4678572206622924,4.114079355848414,2.7909682882553533,8,1.4035087719298245,3.631578947368421,1.9785478244406585
25.0,,,,,,0,0,0,1,,0,0,,,,,,5.0,0.0,,,,8,1.2307692307692308,5.0,2.273030282830976
22.0,,,,,,0,0,0,3,,0,0,,20.7,35.7,16.0,6.0,5.0,0.0,,,,3,0.5263157894736842,4.724137931034483,1.7091466484798348
23.0,78.0,317.0,5.24,31.0,108.0,1,1,0,3,4.705640317117752,3,1,84.09382561430294,15.9,36.8,21.7,10.0,5.0,0.0,0.7890457786959345,0.1986549221671331,0.4938503504315338,3,0.588235294117647,4.724137931034483,1.7091466484798348
23.0,79.0,323.0,,31.5,,1,1,0,3,3.8039369940224335,2,0,,10.6,24.1,15.1,7.0,5.0,0.0,1.4678572206622924,0.6984963392328286,1.0831767799475605,8,1.568627450980392,5.0,2.273030282830976
21.0,75.0,315.0,,,,1,0,0,1,10.0,1,0,,,,,,4.0,0.0,-1.247388547203139,0.032041116478568,-0.6076737153622854,3,0.5263157894736842,4.724137931034483,1.7091466484798348
22.0,77.0,316.0,5.14,24.5,103.0,1,0,0,2,2.7863942486063635,3,1,90.54502694378284,-11.6,25.1,35.2,129.0,5.0,0.0,0.1102343367295766,0.1153480193228506,0.1127911780262136,8,1.3559322033898304,3.631578947368421,1.9785478244406585
21.0,73.0,302.0,5.1,29.5,103.0,1,0,0,3,3.5554267957250545,4,1,89.28042197120236,18.3,35.3,19.5,33.0,4.0,0.0,-2.6050114311358548,-1.0509486204971052,-1.82798002581648,3,0.5263157894736842,4.3125,1.8874586088176872
23.0,76.0,307.0,,,,1,0,0,3,,0,0,,31.3,36.6,7.2,33.0,5.0,0.0,-0.5685771052367812,-0.6344141062756925,-0.6014956057562368,3,0.4615384615384615,4.3125,1.8874586088176872
24.0,75.0,309.0,5.38,29.0,110.0,1,0,0,3,3.6485964934192494,3,1,73.76653302829979,32.0,38.0,7.6,28.0,5.0,0.0,-1.247388547203139,-0.4678003005871273,-0.8575944238951332,3,0.5660377358490566,4.3125,1.8874586088176872
22.0,77.0,308.0,,,,1,0,0,3,,0,0,,21.0,33.9,14.9,2.0,5.0,0.0,0.1102343367295766,-0.55110720343141,-0.2204364333509166,8,1.4035087719298245,3.631578947368421,1.9785478244406585
