age,height,weight,40_yard,vertical,broad_jump,combine_invite,has_college_stats,age_estimated,conference_tier,ras_score,ras_drills_used,ras_reliable,speed_score,college_sp_plus,college_sp_offense,college_sp_defense,college_sos,years_in_college,is_underclassman,height_z,weight_z,size_score,positional_value_prior,positional_value_adjusted,position_historical_round_avg,position_historical_round_std,dominator_rating,team_total_yards,rush_att,rush_long,rush_td,rush_yds,rush_ypc,rec,rec_long,rec_td,rec_yds,rec_ypr
21.0,78.0,262.0,4.7,37.0,123.0,1,1,0,1,2.906211581516153,5,1,107.38406875367468,17.7,35.8,18.5,35.0,4.0,0.0,1.757768228894256,2.0827058079268683,1.9202370184105624,5,0.6666666666666666,4.105882352941176,1.7184123999990772,8.624083020218286,5589.0,,,,,,41.0,37.0,6.0,482.0,11.8
22.0,78.0,246.0,4.76,27.0,120.0,1,1,0,2,2.052473502050045,6,1,95.83790066120535,3.6,30.3,26.9,97.0,5.0,0.0,1.757768228894256,1.403519936538841,1.5806440827165489,5,0.625,4.105882352941176,1.7184123999990772,12.27116186333152,5517.0,,,,,,62.0,30.0,10.0,677.0,10.9
22.0,78.0,222.0,,,,1,1,0,3,4.152264667063882,1,0,,12.0,38.7,28.5,14.0,5.0,0.0,1.757768228894256,0.3847411294568009,1.0712546791755284,7,0.9333333333333332,3.888324873096447,2.0498172482106414,8.206737120211361,6056.0,,,,,,35.0,37.0,2.0,497.0,14.2
21.0,78.0,248.0,,,,1,1,0,3,,0,0,,10.6,24.1,15.1,7.0,4.0,0.0,1.757768228894256,1.4884181704623447,1.6230931996783005,5,0.6097560975609757,4.105882352941176,1.7184123999990772,15.574650912996775,3724.0,1.0,0.0,0.0,-2.0,-2.0,56.0,36.0,5.0,582.0,10.4
24.0,,,,,,0,1,0,1,,0,0,,,,,,5.0,0.0,,,,7,0.9210526315789472,3.888324873096447,2.0498172482106414,,,1.0,6.0,0.0,6.0,6.0,67.0,54.0,6.0,1032.0,15.4
23.0,71.0,233.0,4.72,32.5,,1,1,0,3,1.4474640109055867,2,0,93.8896936800018,23.4,36.5,15.8,5.0,5.0,0.0,-0.6018817281816898,0.8516814160360694,0.1248998439271897,5,0.625,4.105882352941176,1.7184123999990772,4.659035950346606,6203.0,,,,,,30.0,35.0,1.0,289.0,9.6
23.0,75.0,212.0,4.44,37.5,127.0,1,1,0,3,6.497031993445724,3,1,109.10231759276564,31.3,36.6,7.2,33.0,5.0,0.0,0.7464896758617078,-0.0397500401607158,0.353369817850496,7,0.9210526315789472,3.888324873096447,2.0498172482106414,10.573070893572549,5741.0,3.0,26.0,0.0,40.0,13.3,42.0,50.0,1.0,567.0,13.5
23.0,72.0,204.0,4.53,36.5,128.0,1,1,0,3,5.343233040465195,6,1,96.8874119103952,26.1,42.6,16.7,20.0,5.0,0.0,-0.2647888771708405,-0.3793429758547293,-0.3220659265127849,7,0.9210526315789472,3.888324873096447,2.0498172482106414,12.32172470978441,6030.0,,,,,,45.0,70.0,5.0,743.0,16.5
21.0,68.0,212.0,4.48,35.5,121.0,1,1,0,3,4.727511776996152,3,1,105.25768173580016,26.8,34.2,10.0,12.0,4.0,0.0,-1.6131602812142385,-0.0397500401607158,-0.826455160687477,2,0.2666666666666666,4.434426229508197,1.7860233537478658,25.06563976894801,5713.0,195.0,47.0,7.0,1216.0,6.2,24.0,48.0,1.0,216.0,9.0
24.0,68.0,190.0,4.38,35.0,124.0,1,1,0,2,5.878870965988355,5,1,103.24930918897756,0.6,31.6,31.2,121.0,5.0,0.0,-1.6131602812142385,-0.9736306133192528,-1.2933954472667455,7,0.9210526315789472,3.888324873096447,2.0498172482106414,28.16950329975685,2879.0,2.0,27.0,0.0,43.0,21.5,33.0,85.0,8.0,768.0,23.3
